"supplier_id","supplier_code","supplier_name","supplier_short_name","supplier_category","supplier_tier","primary_contact","contact_phone","contact_email","registered_address","country","city","settlement_currency","default_tax_rate","payment_terms","lead_time_avg","risk_level","is_active","established_year","annual_capacity","created_date","status"
SUP-001,SUP-001,芯源微电子股份有限公司,ChipSource,电子元件-芯片,战略,李志强,"13126855092",李志强@chipsource.cn,中国上海市嘉定区安亭镇126号,中国,上海市,CNY,0.13,月结60天,60,中,是,2012,"2386万件","2023-01-01",Active
SUP-002,SUP-002,德州仪器（TI）中国代理,TI-Distributor,电子元件-芯片,战略,Michael Chen,"13826600539",michaelchen@tidistributor.cn,中国深圳市南山区高新科技园303号,中国,深圳市,USD,0.13,月结45天,75,低,是,2018,"620万件","2023-01-01",Active
SUP-003,SUP-003,意法半导体（ST）亚太区,STMicroelectronics,电子元件-芯片,核心,David Zhang,"13200604502",davidzhang@stmicroelectronics.cn,中国上海市闵行区莘庄工业区120号,中国,上海市,USD,0.13,月结30天,60,中,是,2005,"9295万件","2023-01-01",Active
SUP-004,SUP-004,博世传感器技术有限公司,Bosch Sensortec,传感器-IMU,战略,Thomas Wang,"15868820204",thomaswang@boschsensortec.cn,中国苏州市吴中区木渎镇360号,中国,苏州市,USD,0.13,月结60天,45,低,是,2018,"3711万件","2023-01-01",Active
SUP-005,SUP-005,深圳矽递科技有限公司,SensorCorp,传感器-IMU,核心,王建国,"18732719211",王建国@sensorcorp.cn,中国深圳市宝安区沙井街道415号,中国,深圳市,CNY,0.13,月结30天,35,中,是,2005,"2715万件","2023-01-01",Active
SUP-006,SUP-006,楼氏电子（Knowles）,Knowles Electronics,传感器-气压计,核心,James Liu,"18465341213",jamesliu@knowleselectronics.cn,中国苏州市新区狮山路80号,中国,苏州市,USD,0.13,月结45天,40,低,是,2011,"5614万件","2023-01-01",Active
SUP-007,SUP-007,u-blox瑞士公司,u-blox AG,导航定位-GNSS,战略,Peter Schmidt,"41-23-194-7224",peterschmidt@ubloxag.ch,瑞士苏黎世工业园区50号,瑞士,苏黎世,USD,0.13,信用证,50,低,是,2016,"5735万件","2023-01-01",Active
SUP-008,SUP-008,和芯星通科技有限公司,NavSat Tech,导航定位-RTK,核心,赵明,"19384027113",赵明@navsattech.cn,中国北京市海淀区中关村374号,中国,北京市,CNY,0.13,月结30天,35,中,是,2019,"8885万件","2023-01-01",Active
SUP-009,SUP-009,深圳华强PCB制造厂,HQ-PCB,PCB板,核心,陈工,"13506448196",陈工@hqpcb.cn,中国深圳市南山区高新科技园283号,中国,深圳市,CNY,0.13,月结30天,15,低,是,2014,"6025万件","2023-01-01",Active
SUP-010,SUP-010,生益科技股份有限公司,Shengyi Tech,PCB原材料-覆铜板,一般,林经理,"19306468299",林经理@shengyitech.cn,中国东莞市长安镇24号,中国,东莞市,CNY,0.13,款到发货,20,低,是,2012,"801吨","2023-01-01",Active
