procurement_id,procurement_number,procurement_date,supplier_id,supplier_code,supplier_name,material_id,material_code,material_name,warehouse_id,warehouse_name,quantity,unit_price,total_amount,currency,tax_rate,payment_terms,logistics_provider,tracking_number,ship_date,estimated_delivery_date,actual_delivery_date,inspection_status,notes,created_date,status,po_number,delivery_batch,total_batches
PR0000035,PO-202212-113384,2022-12-14,SUP-044,SUP-044,移远通信股份有限公司,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,838,578.72,484967.36,CNY,0.13,月结45天,申通快递,LOG20221215170553,2022-12-15,2023-01-14,2023-01-14,已验收,,2022-12-14,Active,,,
PR0000284,PO-202212-121135,2022-12-14,SUP-003,SUP-003,意法半导体（ST）亚太区,M0095,PART-CRYSTAL-32K,32.768KHz晶振,WH002,电子材料仓,1002,3343.11,3349796.22,USD,0.13,月结30天,申通快递,LOG20221217329886,2022-12-17,2023-02-15,,待验收,,2022-12-14,Active,,,
PR0000341,PO-202212-142265,2022-12-19,SUP-026,SUP-026,中航复合材料有限公司,M0115,RAW-CF-TUBE-16MM,16mm碳纤维管,WH005,原材料仓,3656,2430.76,8886858.56,CNY,0.13,"预付30%,货到付清",圆通速递,LOG20221222851387,2022-12-22,2023-01-26,2023-01-26,已验收,,2022-12-19,Active,,,
PR0000193,PO-202212-164039,2022-12-31,SUP-007,SUP-007,u-blox瑞士公司,M0063,PART-GNSS-UBLOX-M8N,uBlox M8N GPS模块,WH002,电子材料仓,1788,2628.98,4700616.24,USD,0.13,信用证,百世快递,LOG20230103788960,2023-01-03,2023-02-22,,验收中,,2022-12-31,Active,,,
PR0000033,PO-202212-167025,2022-12-08,SUP-044,SUP-044,移远通信股份有限公司,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,1276,568.95,725980.2,CNY,0.13,月结45天,德邦物流,LOG20221210619533,2022-12-10,2023-01-09,,验收中,,2022-12-08,Active,,,
PR0000064,PO-202212-179028,2022-12-26,SUP-022,SUP-022,豪威科技（OmniVision）,M0022,PART-CAM-FPV,FPV图传相机,WH002,电子材料仓,770,826.8,636636.0,USD,0.13,月结45天,韵达快递,LOG20221227688691,2022-12-27,2023-02-15,,验收中,,2022-12-26,Active,,,
PR0000034,PO-202212-194380,2022-12-09,SUP-044,SUP-044,移远通信股份有限公司,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,683,559.92,382425.36,CNY,0.13,月结45天,中铁快运,LOG20221212281642,2022-12-12,2023-01-11,,验收中,,2022-12-09,Active,,,
PR0000342,PO-202212-211186,2022-12-16,SUP-026,SUP-026,中航复合材料有限公司,M0115,RAW-CF-TUBE-16MM,16mm碳纤维管,WH005,原材料仓,2722,2877.76,7833262.72,CNY,0.13,"预付30%,货到付清",京东物流,LOG20221219866987,2022-12-19,2023-01-23,2023-01-23,已验收,,2022-12-16,Active,,,
PR0000322,PO-202212-217672,2022-12-28,SUP-002,SUP-002,德州仪器（TI）中国代理,M0108,PART-MCU-STM32H753,STM32H753双核芯片,WH002,电子材料仓,955,536.06,511937.3,USD,0.13,月结45天,韵达快递,LOG20221231859997,2022-12-31,2023-03-16,2023-03-16,已验收,,2022-12-28,Active,,,
PR0000273,PO-202212-221184,2022-12-15,SUP-030,SUP-030,江西钨业控股集团,M0091,COMP-BAT-MOUNT,电池固定架,WH003,配件仓,927,1335.32,1237841.64,CNY,0.13,"预付30%,货到付清",中通快递,LOG20221218628782,2022-12-18,2023-02-16,2023-02-16,已验收,需加急处理,2022-12-15,Active,,,
PR0000080,PO-202212-228827,2022-12-06,SUP-022,SUP-022,豪威科技（OmniVision）,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,WH002,电子材料仓,174,5201.61,905080.14,USD,0.13,月结45天,德邦物流,LOG20221208420051,2022-12-08,2023-01-27,,待验收,,2022-12-06,Active,,,
PR0000191,PO-202212-265137,2022-12-31,SUP-006,SUP-006,楼氏电子（Knowles）,M0062,PART-BARO-MS5611,MS5611气压计,WH002,电子材料仓,809,5073.14,4104170.26,USD,0.13,月结45天,圆通速递,LOG20230102896500,2023-01-02,2023-02-11,2023-02-11,已验收,,2022-12-31,Active,,,
PR0000326,PO-202212-282124,2022-12-11,SUP-009,SUP-009,深圳华强PCB制造厂,M0109,PART-PCB-FC-8L,8层飞控PCB板,WH002,电子材料仓,865,2438.16,2109008.4,CNY,0.13,月结30天,安能物流,LOG20221212470881,2022-12-12,2022-12-27,2022-12-27,已验收,,2022-12-11,Active,,,
PR0000265,PO-202212-286706,2022-12-20,SUP-020,SUP-020,格氏ace电池科技,M0089,PART-BAT-6S-10000,6S10000mAh智能电池,WH003,配件仓,492,1224.94,602670.48,CNY,0.13,月结30天,安能物流,LOG20221221745863,2022-12-21,2023-01-05,,待验收,,2022-12-20,Active,,,
PR0000153,PO-202212-293755,2022-12-25,SUP-031,SUP-031,台积电（TSMC）,M0051,COMP-LG-CF,碳纤维起落架,WH002,电子材料仓,771,556.79,429285.09,USD,0.13,信用证,圆通速递,LOG20221227411501,2022-12-27,2023-04-26,2023-04-26,已验收,提前交付,2022-12-25,Active,,,
