bom_id,bom_version,parent_type,parent_id,parent_code,child_type,child_id,child_code,child_name,relationship_type,sequence,line_number,quantity,unit,child_quantity,child_unit,base_quantity,effective_date,expiry_date,bom_category,assembly_set,issue_method,scrap_rate,created_by,created_date,status,alt_priority,alt_group_no,parent_material_code
BOM000001,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,Standard,1,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000002,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0002,ASSY-FC-BASIC,基础飞控总成,Standard,2,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000003,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,Standard,3,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000004,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0004,ASSY-PWR-STD,标准动力系统总成,Standard,4,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000005,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,Standard,5,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000006,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0006,PART-RC-BASIC,基础遥控器,Standard,6,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000007,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,Standard,7,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000008,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0002,ASSY-FC-BASIC,基础飞控总成,Standard,8,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000009,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,Standard,9,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000010,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0004,ASSY-PWR-STD,标准动力系统总成,Standard,10,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000011,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,Standard,11,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000012,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0009,PART-RC-ADV,高级遥控器,Standard,12,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000013,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,13,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000014,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,14,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000015,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,Standard,15,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000016,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,16,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000017,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,17,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000018,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0015,PART-RC-PRO,专业遥控器,Standard,18,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000019,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0016,PART-AVOID-VISION,视觉避障系统,Standard,19,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.02,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000020,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,20,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000021,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,21,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000022,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0017,PART-CAM-ZOOM,变焦相机模组,Standard,22,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000023,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,23,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000024,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,24,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000025,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0015,PART-RC-PRO,专业遥控器,Standard,25,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000026,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,Standard,26,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000027,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,27,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000028,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,28,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000029,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0019,VIRT-CAM-SEL,相机配置选择件,Standard,29,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000030,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,30,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000031,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,31,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000032,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0015,PART-RC-PRO,专业遥控器,Standard,32,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000033,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,Standard,33,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000034,V2.0,Material,M0019,VIRT-CAM-SEL,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,Standard,34,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,VIRT-CAM-SEL
BOM000035,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,Standard,35,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000036,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,36,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
