purchase_order_id,purchase_order_number,document_date,supplier_id,supplier_name,material_id,material_code,material_name,purchase_quantity,unit_price_tax,total_amount_tax,unit_price_no_tax,total_amount_no_tax,tax_rate,document_status,required_date,planned_arrival_date,accumulated_arrival_tax,accumulated_storage_tax,payment_terms,supplier_level,risk_level,buyer,created_date,status,srcbillid,srcbillentryid,customer_id,customer_name,sales_order_number,project_name,delivery_batch,total_batches
PO0000007,PO-2023010007,2023-01-10,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,1100,104.66,115126.0,92.62,101881.42,0.13,已收货,2023-03-20,2023-03-14,114741.82,113374.83,月结60天,战略,低,吴十,2023-01-10,Active,,,,,,,,
PO0000022,PO-2023010022,2023-01-06,SUP-021,索尼半导体解决方案,M0017,PART-CAM-ZOOM,变焦相机模组,2292,346.6,794407.2,306.73,703015.22,0.13,已关闭,2023-03-13,2023-03-16,776827.2,770416.05,月结60天,战略,低,李四,2023-01-06,Active,,,,,,,,
PO0000051,PO-2023010051,2023-01-02,SUP-039,常州雷达测高仪制造厂,M0027,PART-RADAR-ALT,雷达测高仪,944,442.42,417644.48,391.52,369596.88,0.13,已关闭,2023-02-16,2023-02-02,409822.18,399986.06,月结30天,一般,低,吴十,2023-01-02,Active,,,,,,,,
PO0000058,PO-2023010058,2023-01-16,SUP-021,索尼半导体解决方案,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,1764,181.12,319495.68,160.28,282739.54,0.13,已关闭,2023-04-01,2023-03-20,313477.33,294589.8,月结60天,战略,低,王五,2023-01-16,Active,,,,,,,,
PO0000114,PO-2023010114,2023-01-17,SUP-027,深圳铝合金精密加工厂,M0095,PART-CRYSTAL-32K,32.768KHz晶振,3324,73.42,244048.08,64.97,215971.75,0.13,已收货,2023-02-16,2023-01-30,233473.59,218351.49,款到发货,一般,低,孙八,2023-01-17,Active,,,,,,,,
PO0000163,PO-2023010163,2023-01-04,SUP-001,芯源微电子股份有限公司,M0106,PART-RES-SMD-0201,0201贴片电阻,4292,67.24,288594.08,59.5,255392.99,0.13,已关闭,2023-03-22,2023-03-13,286045.22,264520.66,月结60天,战略,中,张三,2023-01-04,Active,,,,,,,,
PO0000176,PO-2023010176,2023-01-10,SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,3557,100.0,355700.0,88.5,314778.76,0.13,已关闭,2023-02-09,2023-01-30,338194.79,322374.46,月结30天,一般,低,赵六,2023-01-10,Active,,,,,,,,
PO0000177,PO-2023010177,2023-01-18,SUP-028,台州塑料注塑成型公司,M0112,RAW-ABS-PELLET,ABS塑料粒子,12013,16.25,195211.25,14.38,172753.32,0.13,已收货,2023-02-09,2023-01-27,187324.05,178453.43,款到发货,一般,低,周九,2023-01-18,Active,,,,,,,,
PO0000218,PO-2023010218,2023-01-10,SUP-029,包头稀土高新材料公司,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,12903,3.72,47999.16,3.29,42477.13,0.13,已关闭,2023-04-19,2023-04-18,46745.66,43141.32,"预付50%,货到付清",战略,高,张三,2023-01-10,Active,,,,,,,,
PO0000004,PO-2023020004,2023-02-28,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,4619,112.59,520053.21,99.64,460224.08,0.13,已关闭,2023-05-05,2023-04-29,519033.36,471288.07,月结60天,战略,低,张三,2023-02-28,Active,,,,,,,,
