inventory_id,snapshot_month,item_type,item_id,item_code,item_name,warehouse_id,warehouse_name,batch_number,quantity,unit_price,total_price,earliest_storage_date,max_storage_age,storage_reason,storage_note,consumption_path,created_date,status,movement_type,source_doc_type,source_doc_number,last_update_date,month_end_date,month_end_qty,month_end_variance,shortage_flag
INV0000001,2023-05,Product,P0001,UAV-XF-BASIC,旋风基础版整机,WH001,中央成品仓,FG230501-001,866,38369.77,33228222.98,2023-04-30,1,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,866.0,0,否
INV0000002,2023-05,Product,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,WH001,中央成品仓,FG230501-001,4232,35451.48,150030650.38,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,4231.0,-1,否
INV0000003,2023-05,Product,P0003,UAV-XF-PRO-A,巡风摄影版整机,WH001,中央成品仓,FG230501-001,4926,6430.22,31675266.56,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,4924.0,-2,否
INV0000004,2023-05,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,WH001,中央成品仓,FG230501-001,5974,27740.99,165724662.1,2023-04-23,8,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,5975.0,1,否
INV0000005,2023-05,Product,P0005,UAV-XF-PRO-C,巡风全能版整机,WH001,中央成品仓,FG230501-001,3035,37220.88,112965378.63,2023-04-24,7,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,3038.0,3,否
INV0000006,2026-04,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,WH001,中央成品仓,FG230501-001,4158.0,14919.83,64871412.11,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202604-0078,2026-04-01,2026-03-31,4157.0,-1,否
INV0000007,2023-05,Product,P0007,UAV-JF-ENT-SV,极风测绘版整机,WH001,中央成品仓,FG230501-001,2739,44118.51,120840611.04,2023-04-05,26,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,2738.0,-1,否
INV0000008,2023-05,Product,P0008,UAV-JF-ENT-SC,极风安防版整机,WH001,中央成品仓,FG230501-001,1039,36416.27,37836507.41,2023-04-25,6,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,1036.0,-3,否
INV0000009,2026-05,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,WH001,中央成品仓,FG230501-001,2216.0,14689.12,39102435.56,2023-04-26,5,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202605-0075,2026-05-01,2026-03-31,2216.0,0,否
INV0000010,2026-05,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,WH001,中央成品仓,FG230501-001,2696.0,9173.56,29850773.85,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202605-0077,2026-05-01,2026-03-31,2699.0,3,否
